EDUCATION_ID,LEARNER_ID,SEQUENCE_NO,UNIVERSITY_ID,EDUCATOINBG_ID,BARNCH_ID,GYEAR,GRADE_POINT,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
EDUBD19B1A2902A4952,LNR-202600001,1,2400,1,15,2566,3.21,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU494D56FA2E184721,LNR-202600001,2,16500,2,12,2559,2.61,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU858723DB4C214CEB,LNR-202600002,1,18000,1,5,2557,3.61,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU1CD9A4708ADD4023,LNR-202600003,1,14200,1,9,2564,2.89,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU5962B546A5324A95,LNR-202600004,1,5400,1,11,2564,3.36,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUE0DBE45FC75F49BA,LNR-202600005,1,20103,1,9,2565,3.3,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU2893961073814055,LNR-202600005,2,5600,2,14,2561,2.78,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU0FA4E0FBC5B442BD,LNR-202600006,1,400,1,7,2556,2.69,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUE53ABF84351A441D,LNR-202600007,1,12800,1,16,2558,2.64,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUAFFFA711A8844B6E,LNR-202600008,1,5600,1,1,2556,2.71,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUC034C46B2EB04694,LNR-202600009,1,10100,1,5,2560,3.01,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUACBA0CEA5B884797,LNR-202600009,2,16100,2,2,2567,2.55,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUE8B52C7649214FE0,LNR-202600010,1,1100,1,10,2562,2.81,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU609BB7AD3DF54B94,LNR-202600010,2,1500,2,8,2563,3.83,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUB4C1E43D8978441D,LNR-202600011,1,15400,1,13,2565,3.07,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU32B89908AF0645A7,LNR-202600011,2,20101,2,16,2559,3.13,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUBFE259B354554538,LNR-202600012,1,18100,1,16,2565,3.34,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU41965A3B1D754F9E,LNR-202600012,2,1100,2,4,2567,3.7,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUC809B6E18D204B4F,LNR-202600013,1,16400,1,10,2558,2.52,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUAEC4C31D707C4B22,LNR-202600014,1,1100,1,8,2558,2.58,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU8964B21A4E524503,LNR-202600015,1,13300,1,3,2557,2.99,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUE922070BED5B416A,LNR-202600016,1,12400,1,16,2555,3.37,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUC213719B225D42E7,LNR-202600017,1,12300,1,7,2560,3.4,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU7023913498DF498B,LNR-202600018,1,26600,1,14,2565,3.18,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU0FFE04198D1245C1,LNR-202600019,1,12300,1,16,2565,3.83,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUBDD5B069CEB143AB,LNR-202600020,1,14600,1,15,2567,3.27,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUAE28B7A05CF74B15,LNR-202600021,1,10200,1,6,2559,2.63,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU43EB5AFF3AFB46CD,LNR-202600022,1,16700,1,3,2567,3.32,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU0A6D7796318C4460,LNR-202600022,2,12400,2,10,2560,2.68,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUC7CF385BDB954376,LNR-202600023,1,2500,1,11,2567,3.57,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUD004701869934061,LNR-202600024,1,5300,1,10,2559,3.81,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUC51EF5E5D2A149FB,LNR-202600025,1,14500,1,15,2558,3.14,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUCB7DCBF9CA58444A,LNR-202600025,2,5900,2,12,2558,3.51,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUFE3D53CB7EC14B87,LNR-202600026,1,17400,1,3,2567,2.83,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU78CB2C1342E64C1D,LNR-202600027,1,22600,1,4,2557,2.74,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDU2A8645619CFC42EC,LNR-202600027,2,15800,2,12,2560,2.61,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
EDUA04B45B155E440A5,LNR-202600028,1,12700,1,9,2561,3.8,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
