PROJECT_ID,LEARNER_ID,SEQUENCE_NO,COMPANY_ID,COMPANY_NAME,POSITION_ID,PROJECT_NAME,DESCRIPTION,START_DATE,END_DATE,VERIFY_ID,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
PRJ069590DA71204E82,LNR-202600003,1,COMP-202600004,Agoda,2,E-Commerce App,Developed and maintained a key system feature.,2025-07-04,2025-08-27,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJE84F4D6264EC4BCB,LNR-202600005,1,COMP-202600004,AIS,4,Data Dashboard,Developed and maintained a key system feature.,2024-02-27,2024-04-29,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ673D1C51456A4560,LNR-202600006,1,COMP-202600005,PTT,5,HR Platform,Developed and maintained a key system feature.,2024-06-30,2024-11-07,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJDD62DB6336E14B40,LNR-202600006,2,COMP-202600007,Bangchak,8,API Gateway,Developed and maintained a key system feature.,2024-06-19,2024-12-03,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ7D1F4600BCD24331,LNR-202600007,1,COMP-202600007,Bangchak,7,Data Dashboard,Developed and maintained a key system feature.,2024-05-03,2024-09-24,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ8F90C6B3363549E4,LNR-202600007,2,,,9,HR Platform,Developed and maintained a key system feature.,2024-05-29,2024-11-08,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ3A7A4831C9B1434E,LNR-202600008,1,COMP-202600001,AIS,8,HR Platform,Developed and maintained a key system feature.,2024-10-21,2025-01-13,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJF989263EDE9141F7,LNR-202600008,2,COMP-202600002,,8,HR Platform,Developed and maintained a key system feature.,2024-06-06,2024-11-27,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJABFF21862019476C,LNR-202600010,1,COMP-202600007,Bangchak,6,API Gateway,Developed and maintained a key system feature.,2024-12-22,2025-03-31,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJA602AD880A0F4E6B,LNR-202600010,2,COMP-202600001,KBTG,6,E-Commerce App,Developed and maintained a key system feature.,2025-04-28,2025-07-07,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJBCF1BC235DB14AAD,LNR-202600011,1,COMP-202600008,SCG,2,Data Dashboard,Developed and maintained a key system feature.,2024-02-28,2024-06-01,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJ49C6B665D19D4612,LNR-202600011,2,COMP-202600004,True Corporation,3,API Gateway,Developed and maintained a key system feature.,2024-12-30,2025-04-14,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJCF684FDC216F4059,LNR-202600012,1,,Google Thailand,4,Data Dashboard,Developed and maintained a key system feature.,2025-04-28,2025-08-13,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
PRJD20ECD6CBF7B430D,LNR-202600012,2,COMP-202600010,AIS,1,API Gateway,Developed and maintained a key system feature.,2025-04-13,2025-07-22,,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
