RESUME_ID,LEARNER_ID,SEQUENCE_NO,RESUME_NAME,LINK_RESUME,RESUME_NOW,isprimary,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
RSMEE011D04E56D4BAE,LNR-202600001,1,resume_LNR-202600001.pdf,https://storage.l2e.io/resume/LNR-202600001.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM01A5E91939F7433F,LNR-202600002,1,resume_LNR-202600002.pdf,https://storage.l2e.io/resume/LNR-202600002.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM787220191EC84C03,LNR-202600003,1,resume_LNR-202600003.pdf,https://storage.l2e.io/resume/LNR-202600003.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM5BE0711AB4B74109,LNR-202600004,1,resume_LNR-202600004.pdf,https://storage.l2e.io/resume/LNR-202600004.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM1B9D8B3EB3424EAF,LNR-202600005,1,resume_LNR-202600005.pdf,https://storage.l2e.io/resume/LNR-202600005.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM0BF1E873828E41EA,LNR-202600006,1,resume_LNR-202600006.pdf,https://storage.l2e.io/resume/LNR-202600006.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSMC2F18240F5D34E86,LNR-202600007,1,resume_LNR-202600007.pdf,https://storage.l2e.io/resume/LNR-202600007.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSMCFCD2967DDA549D3,LNR-202600008,1,resume_LNR-202600008.pdf,https://storage.l2e.io/resume/LNR-202600008.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM19EAE220860F4915,LNR-202600009,1,resume_LNR-202600009.pdf,https://storage.l2e.io/resume/LNR-202600009.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM027DC0EC1DA74AE1,LNR-202600010,1,resume_LNR-202600010.pdf,https://storage.l2e.io/resume/LNR-202600010.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM7E74DCD476E14636,LNR-202600011,1,resume_LNR-202600011.pdf,https://storage.l2e.io/resume/LNR-202600011.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSMD63C4245C5984B7E,LNR-202600012,1,resume_LNR-202600012.pdf,https://storage.l2e.io/resume/LNR-202600012.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM67D7BD2E5D754DAF,LNR-202600013,1,resume_LNR-202600013.pdf,https://storage.l2e.io/resume/LNR-202600013.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM6B155DCA16B04790,LNR-202600014,1,resume_LNR-202600014.pdf,https://storage.l2e.io/resume/LNR-202600014.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM661985FC233945E9,LNR-202600015,1,resume_LNR-202600015.pdf,https://storage.l2e.io/resume/LNR-202600015.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSM12A2D161C0484BAC,LNR-202600016,1,resume_LNR-202600016.pdf,https://storage.l2e.io/resume/LNR-202600016.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
RSMF5C28A2A52CE4167,LNR-202600017,1,resume_LNR-202600017.pdf,https://storage.l2e.io/resume/LNR-202600017.pdf,True,True,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
