job_post_id,company_id,job_title,position_id,position_name_th,position_name_en,job_type,job_sub_type,communication_language_id,province_id,sub_district_id,district_id,employment_type_id,Work_location_type_id,income_min,income_max,is_display_income,job_detail,job_summary,is_open_ended,open_date,end_date,is_created_new_pool,candidate_pool_id,is_published,is_actiive,job_post_status,Working_time,created_by,created_at,updated_by,updated_at
JOB-202600001,COMP-202600001,รับสมัคร Cybersecurity Analyst (Cybersecurity Analyst),9,Cybersecurity Analyst,Cybersecurity Analyst,IT,Analysis,2,08,00008,0008,4,4,65000,102000,False,ต้องการ Cybersecurity Analyst ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Cybersecurity Analyst,True,2026-01-30,2026-04-17,True,POOL-0001,True,True,open,3 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600002,COMP-202600006,รับสมัคร DevOps Engineer (DevOps Engineer),4,DevOps Engineer,DevOps Engineer,IT,Development,1,08,00008,0008,4,2,40000,62000,True,ต้องการ DevOps Engineer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ DevOps Engineer,False,2026-02-17,2026-05-03,True,POOL-0001,True,True,draft,5 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600003,COMP-202600006,รับสมัคร Data Scientist (นักวิทยาศาสตร์ข้อมูล),7,นักวิทยาศาสตร์ข้อมูล,Data Scientist,Business,Operations,1,03,00003,0003,2,2,55000,86000,True,ต้องการ Data Scientist ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Data Scientist,False,2025-11-27,2026-03-15,True,POOL-0005,True,True,open,3 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600004,COMP-202600001,รับสมัคร Data Analyst (นักวิเคราะห์ข้อมูล),6,นักวิเคราะห์ข้อมูล,Data Analyst,Business,Analysis,2,08,00008,0008,5,2,50000,78000,False,ต้องการ Data Analyst ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Data Analyst,False,2026-01-23,2026-05-15,True,POOL-0001,True,True,open,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600005,COMP-202600003,รับสมัคร Data Analyst (นักวิเคราะห์ข้อมูล),8,นักวิเคราะห์ข้อมูล,Data Analyst,IT,Operations,2,04,00004,0004,3,2,60000,94000,True,ต้องการ Data Analyst ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Data Analyst,True,2026-02-20,2026-04-29,True,POOL-0003,True,True,draft,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600006,COMP-202600009,รับสมัคร System Engineer (วิศวกรระบบ),9,วิศวกรระบบ,System Engineer,Engineering,Development,1,11,00011,0011,1,3,65000,102000,True,ต้องการ System Engineer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ System Engineer,False,2026-02-06,2026-05-27,False,POOL-0002,True,True,closed,3 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600007,COMP-202600006,รับสมัคร UX/UI Designer (UX/UI Designer),1,UX/UI Designer,UX/UI Designer,IT,Operations,1,06,00006,0006,2,1,25000,38000,False,ต้องการ UX/UI Designer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ UX/UI Designer,False,2026-02-03,2026-03-07,True,POOL-0003,True,True,draft,4 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600008,COMP-202600008,รับสมัคร UX/UI Designer (UX/UI Designer),10,UX/UI Designer,UX/UI Designer,Engineering,Operations,1,12,00012,0012,5,2,70000,110000,False,ต้องการ UX/UI Designer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ UX/UI Designer,False,2025-12-13,2026-04-11,True,POOL-0005,True,True,open,1 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600009,COMP-202600007,รับสมัคร Programmer (โปรแกรมเมอร์),5,โปรแกรมเมอร์,Programmer,IT,Development,2,02,00002,0002,2,1,45000,70000,False,ต้องการ Programmer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Programmer,True,2026-01-27,2026-03-11,False,POOL-0002,True,True,open,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600010,COMP-202600010,รับสมัคร Programmer (โปรแกรมเมอร์),7,โปรแกรมเมอร์,Programmer,Business,Development,2,09,00009,0009,1,5,55000,86000,True,ต้องการ Programmer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Programmer,False,2025-11-28,2026-01-05,True,POOL-0005,True,True,draft,4 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600011,COMP-202600004,รับสมัคร Data Analyst (นักวิเคราะห์ข้อมูล),4,นักวิเคราะห์ข้อมูล,Data Analyst,Engineering,Development,1,09,00009,0009,2,1,40000,62000,True,ต้องการ Data Analyst ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Data Analyst,False,2026-02-04,2026-05-06,False,POOL-0004,True,True,draft,5 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600012,COMP-202600009,รับสมัคร DevOps Engineer (DevOps Engineer),7,DevOps Engineer,DevOps Engineer,Engineering,Operations,1,08,00008,0008,4,4,55000,86000,True,ต้องการ DevOps Engineer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ DevOps Engineer,False,2025-12-05,2026-01-15,False,POOL-0005,True,True,open,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600013,COMP-202600006,รับสมัคร Web Developer (นักพัฒนาเว็บ),7,นักพัฒนาเว็บ,Web Developer,IT,Operations,1,02,00002,0002,5,3,55000,86000,True,ต้องการ Web Developer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Web Developer,True,2025-11-23,2026-01-12,False,POOL-0001,True,True,draft,2 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600014,COMP-202600004,รับสมัคร Data Engineer (Data Engineer),4,Data Engineer,Data Engineer,IT,Operations,2,03,00003,0003,6,3,40000,62000,False,ต้องการ Data Engineer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Data Engineer,False,2025-12-15,2026-01-24,False,POOL-0002,True,True,closed,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600015,COMP-202600005,รับสมัคร Cybersecurity Analyst (Cybersecurity Analyst),7,Cybersecurity Analyst,Cybersecurity Analyst,Engineering,Development,2,04,00004,0004,2,2,55000,86000,True,ต้องการ Cybersecurity Analyst ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Cybersecurity Analyst,True,2026-01-18,2026-04-08,False,POOL-0001,True,True,closed,5 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
JOB-202600016,COMP-202600001,รับสมัคร Data Engineer (Data Engineer),3,Data Engineer,Data Engineer,Business,Analysis,1,01,00001,0001,4,2,35000,54000,False,ต้องการ Data Engineer ที่มีประสบการณ์คุณสมบัติตรงกับตำแหน่ง,หน้าที่หลัก: พัฒนาและดูแลระบบ Data Engineer,False,2025-12-26,2026-04-25,True,POOL-0003,True,True,open,8 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-02-20 16:25:38,SYSTEM_ADMIN,2026-02-20 16:25:38
