EDUCATION_ID,LEARNER_ID,SEQUENCE_NO,UNIVERSITY_ID,EDUCATOINBG_ID,BARNCH_ID,GYEAR,GRADE_POINT,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
EDU9CC6D752A278491C,LNR-202600001,1,19900,1,11,2549,2.84,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU73EE65E650AF4DBE,LNR-202600002,1,100,1,6,2542,3.82,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUCF1E7FD54417493D,LNR-202600003,1,19100,1,4,2559,3.44,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU35287E46EF3F413D,LNR-202600004,1,5400,2,8,2566,3.6,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU86E838D859944D75,LNR-202600004,2,12200,1,2,2562,2.47,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU1A0C4EABAB6A46D3,LNR-202600005,1,19700,1,1,2549,2.47,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU2CEE30684CC34F00,LNR-202600006,1,12800,2,5,2547,3.06,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUB73CDEDD248443BB,LNR-202600006,2,100,1,5,2545,3.67,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU9B593CCFA7CE4068,LNR-202600007,1,19400,1,2,2553,3.22,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUCA93A342FC654078,LNR-202600008,1,19400,1,1,2567,3.4,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU3056F4530062419B,LNR-202600009,1,19200,2,1,2548,3.02,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUD3DF530736A840B1,LNR-202600009,2,19200,1,1,2545,3.85,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU43BB2B6DF9D44DDD,LNR-202600010,1,14400,2,12,2552,3.83,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU1EB1D67B3DDC47F1,LNR-202600010,2,19600,1,8,2548,2.56,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU07E03286AF1E4D2A,LNR-202600011,1,6100,1,10,2557,2.51,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU129937415FBF452D,LNR-202600012,1,200,1,1,2552,2.51,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUF61E95915A2A4417,LNR-202600013,1,19700,1,1,2565,2.72,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU4C46697D7A8C49FE,LNR-202600014,1,19200,2,7,2554,3.52,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU6E100EEB98BF4C58,LNR-202600014,2,200,1,7,2550,2.93,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUE47723579C9440C0,LNR-202600015,1,19800,2,6,2549,3.29,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUA313F4273EC34860,LNR-202600015,2,12800,1,6,2546,3.24,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUECBF113C35324F67,LNR-202600016,1,1700,2,6,2543,3.14,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU6C9AB705EC284302,LNR-202600016,2,19600,1,6,2538,2.7,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU9F94F930BBC64871,LNR-202600017,1,19100,1,3,2545,2.82,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUF76E09116B894214,LNR-202600018,1,11300,1,1,2564,2.98,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUA51215A9C93A4E7B,LNR-202600019,1,2400,1,8,2567,3.53,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU9E2CFC1F332541C1,LNR-202600020,1,19100,1,2,2564,2.54,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU3EFDFC7861764E05,LNR-202600021,1,19200,1,1,2567,3.07,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU46006EF7AC494346,LNR-202600022,1,14400,1,7,2570,3.21,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUCCCD5FBECAE2403E,LNR-202600023,1,2000,1,1,2563,2.28,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU2E9E54DC56CB4E68,LNR-202600024,1,19200,2,2,2556,3.61,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU0F1A0D6066B640EE,LNR-202600024,2,19200,1,3,2552,2.49,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU270CEB7F00E34D70,LNR-202600025,1,19200,2,1,2566,3.07,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDUCE0581E15E1F4DBB,LNR-202600025,2,600,1,2,2563,3.81,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU86FF6E05EF7449EE,LNR-202600026,1,11300,1,13,2564,3.84,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
EDU70203234A0B64540,LNR-202600027,1,400,1,3,2566,3.57,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
