job_post_id,company_id,job_title,position_id,position_name_th,position_name_en,job_type,job_sub_type,communication_language_id,province_id,sub_district_id,district_id,employment_type_id,Work_location_type_id,income_min,income_max,is_display_income,job_detail,job_summary,is_open_ended,open_date,end_date,is_created_new_pool,candidate_pool_id,is_published,is_actiive,job_post_status,Working_time,created_by,created_at,updated_by,updated_at
JOB-202600001,COMP-202600007,รับสมัคร Data Engineer (วิศวกรข้อมูล),1,วิศวกรข้อมูล,Data Engineer,IT,Engineering,2,2,2,2,1,3,39100,48300,True,"We are looking for a Data Engineer who can contribute from day one, communicate clearly, and work with technologies such as Airflow, AWS, Problem Solving, BigQuery, Spark. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Engineer using Airflow, AWS, Problem Solving, BigQuery and collaborating with cross-functional teams.",False,2026-01-18,2026-05-09,True,POOL-0002,True,True,open,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600002,COMP-202600001,รับสมัคร Data Engineer (วิศวกรข้อมูล),3,วิศวกรข้อมูล,Data Engineer,IT,Engineering,1,3,3,3,3,3,50600,62100,False,"We are looking for a Data Engineer who can contribute from day one, communicate clearly, and work with technologies such as Problem Solving, Python, AWS, SQL, Airflow. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Engineer using Problem Solving, Python, AWS, SQL and collaborating with cross-functional teams.",True,2026-02-13,2026-04-23,True,POOL-0002,True,True,open,3 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600003,COMP-202600010,รับสมัคร Data Scientist (นักวิทยาศาสตร์ข้อมูล),3,นักวิทยาศาสตร์ข้อมูล,Data Scientist,Business,Analytics,2,4,4,4,3,1,52800,64800,True,"We are looking for a Data Scientist who can contribute from day one, communicate clearly, and work with technologies such as A/B Testing, Statistics, Pandas, Machine Learning, Data Visualization. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Scientist using A/B Testing, Statistics, Pandas, Machine Learning and collaborating with cross-functional teams.",True,2026-02-03,2026-04-21,True,POOL-0002,True,True,open,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600004,COMP-202600005,รับสมัคร DevOps Engineer (วิศวกร DevOps),4,วิศวกร DevOps,DevOps Engineer,IT,Infrastructure,1,11,11,11,1,3,62500,77500,True,"We are looking for a DevOps Engineer who can contribute from day one, communicate clearly, and work with technologies such as GitHub Actions, AWS, Ansible, Linux. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a DevOps Engineer using GitHub Actions, AWS, Ansible, Linux and collaborating with cross-functional teams.",True,2026-03-04,2026-05-31,True,POOL-0003,True,True,open,4 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600005,COMP-202600005,รับสมัคร Software Tester / QA (นักทดสอบซอฟต์แวร์),3,นักทดสอบซอฟต์แวร์,Software Tester / QA,IT,Support,2,14,14,14,1,2,30800,37800,False,"We are looking for a IT Support who can contribute from day one, communicate clearly, and work with technologies such as VPN, Office 365, Network Troubleshooting, Helpdesk Support, Active Directory. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a IT Support using VPN, Office 365, Network Troubleshooting, Helpdesk Support and collaborating with cross-functional teams.",False,2026-01-23,2026-04-17,True,POOL-0003,False,True,draft,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600006,COMP-202600002,รับสมัคร QA Automation Engineer (วิศวกร QA อัตโนมัติ),2,วิศวกร QA อัตโนมัติ,QA Automation Engineer,IT,Support,2,7,7,7,1,3,26600,32199,True,"We are looking for a IT Support who can contribute from day one, communicate clearly, and work with technologies such as Problem Solving, Documentation, Windows Server, VPN. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a IT Support using Problem Solving, Documentation, Windows Server, VPN and collaborating with cross-functional teams.",False,2026-03-04,2026-04-24,True,POOL-0003,False,True,draft,8 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600007,COMP-202600009,รับสมัคร UX/UI Designer (นักออกแบบ UX/UI),3,นักออกแบบ UX/UI,UX/UI Designer,Design,Product Design,1,8,8,8,2,3,38500,47250,True,"We are looking for a UX/UI Designer who can contribute from day one, communicate clearly, and work with technologies such as Prototyping, Problem Solving, Wireframing, User Research, UX Design. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a UX/UI Designer using Prototyping, Problem Solving, Wireframing, User Research and collaborating with cross-functional teams.",False,2026-03-22,2026-07-18,True,POOL-0005,False,True,draft,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600008,COMP-202600002,รับสมัคร Product Manager (PM) (ผู้จัดการผลิตภัณฑ์),4,ผู้จัดการผลิตภัณฑ์,Product Manager (PM),Business,Marketing,1,6,6,6,1,3,40000,49600,True,"We are looking for a Digital Marketer who can contribute from day one, communicate clearly, and work with technologies such as Presentation, Creativity, Content Marketing, Google Analytics 4. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Digital Marketer using Presentation, Creativity, Content Marketing, Google Analytics 4 and collaborating with cross-functional teams.",True,2026-01-15,2026-04-27,True,POOL-0004,True,True,closed,8 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600009,COMP-202600003,รับสมัคร UX/UI Designer (นักออกแบบ UX/UI),3,นักออกแบบ UX/UI,UX/UI Designer,Design,Product Design,1,3,3,3,1,2,38500,47250,True,"We are looking for a UX/UI Designer who can contribute from day one, communicate clearly, and work with technologies such as Figma, Wireframing, Problem Solving, User Research. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a UX/UI Designer using Figma, Wireframing, Problem Solving, User Research and collaborating with cross-functional teams.",False,2026-03-10,2026-06-10,True,POOL-0005,True,True,open,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600010,COMP-202600006,รับสมัคร Network / System Engineer (วิศวกรระบบและเครือข่าย),5,วิศวกรระบบและเครือข่าย,Network / System Engineer,IT,Operations,2,13,13,13,1,1,60900,75600,True,"We are looking for a System Engineer who can contribute from day one, communicate clearly, and work with technologies such as Monitoring, Networking, Active Directory, Problem Solving, Docker. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a System Engineer using Monitoring, Networking, Active Directory, Problem Solving and collaborating with cross-functional teams.",False,2026-03-29,2026-06-24,True,POOL-0001,True,True,open,8 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600011,COMP-202600001,รับสมัคร UX/UI Designer (นักออกแบบ UX/UI),4,นักออกแบบ UX/UI,UX/UI Designer,Design,Product Design,1,7,7,7,1,3,43750,54250,True,"We are looking for a UX/UI Designer who can contribute from day one, communicate clearly, and work with technologies such as User Research, Design Systems, Wireframing, Presentation, Prototyping. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a UX/UI Designer using User Research, Design Systems, Wireframing, Presentation and collaborating with cross-functional teams.",False,2026-02-26,2026-05-19,True,POOL-0005,True,True,closed,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600012,COMP-202600009,รับสมัคร Network / System Engineer (วิศวกรระบบและเครือข่าย),3,วิศวกรระบบและเครือข่าย,Network / System Engineer,IT,Support,1,3,3,3,5,1,30800,37800,False,"We are looking for a IT Support who can contribute from day one, communicate clearly, and work with technologies such as Customer Service, Helpdesk Support, Network Troubleshooting, VPN, Windows Server. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a IT Support using Customer Service, Helpdesk Support, Network Troubleshooting, VPN and collaborating with cross-functional teams.",False,2026-02-06,2026-05-18,True,POOL-0003,True,True,closed,8 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600013,COMP-202600007,รับสมัคร Business Analyst (BA) (นักวิเคราะห์ธุรกิจ),3,นักวิเคราะห์ธุรกิจ,Business Analyst (BA),Business,Finance,1,6,6,6,2,1,35200,43200,True,"We are looking for a Accountant who can contribute from day one, communicate clearly, and work with technologies such as Problem Solving, Detail-Oriented, Communication, Internal Controls. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Accountant using Problem Solving, Detail-Oriented, Communication, Internal Controls and collaborating with cross-functional teams.",True,2026-02-09,2026-05-24,True,POOL-0004,True,True,open,3 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600014,COMP-202600004,รับสมัคร Business Analyst (BA) (นักวิเคราะห์ธุรกิจ),10,นักวิเคราะห์ธุรกิจ,Business Analyst (BA),Business,Marketing,2,5,5,5,5,1,89600,108800,True,"We are looking for a Digital Marketer who can contribute from day one, communicate clearly, and work with technologies such as Social Media Marketing, Creativity, Meta Ads (Facebook/Instagram), Content Marketing. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Digital Marketer using Social Media Marketing, Creativity, Meta Ads (Facebook/Instagram), Content Marketing and collaborating with cross-functional teams.",False,2026-03-19,2026-05-30,True,POOL-0004,True,True,open,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600015,COMP-202600006,รับสมัคร Data Engineer (วิศวกรข้อมูล),2,วิศวกรข้อมูล,Data Engineer,IT,Engineering,1,10,10,10,1,1,43700,52899,True,"We are looking for a Data Engineer who can contribute from day one, communicate clearly, and work with technologies such as Problem Solving, SQL, Spark, Airflow, BigQuery. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Engineer using Problem Solving, SQL, Spark, Airflow and collaborating with cross-functional teams.",True,2026-03-19,2026-07-15,True,POOL-0002,False,True,draft,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600016,COMP-202600008,รับสมัคร System Analyst (SA) (นักวิเคราะห์ระบบ),4,นักวิเคราะห์ระบบ,System Analyst (SA),Business,Finance,2,4,4,4,5,1,40000,49600,False,"We are looking for a Accountant who can contribute from day one, communicate clearly, and work with technologies such as VAT, Problem Solving, Budgeting & Forecasting, Account Reconciliation, Communication. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Accountant using VAT, Problem Solving, Budgeting & Forecasting, Account Reconciliation and collaborating with cross-functional teams.",True,2026-02-20,2026-05-29,True,POOL-0004,True,True,open,4 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600017,COMP-202600007,รับสมัคร Data Scientist (นักวิทยาศาสตร์ข้อมูล),1,นักวิทยาศาสตร์ข้อมูล,Data Scientist,Business,Analytics,1,12,12,12,1,3,40800,50400,True,"We are looking for a Data Scientist who can contribute from day one, communicate clearly, and work with technologies such as Tableau, Statistics, Python, SQL, Data Visualization. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Scientist using Tableau, Statistics, Python, SQL and collaborating with cross-functional teams.",True,2026-03-14,2026-06-08,True,POOL-0002,True,True,open,8 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600018,COMP-202600002,รับสมัคร Front-end Developer (นักพัฒนา Front-end),8,นักพัฒนา Front-end,Front-end Developer,IT,Development,1,8,8,8,3,2,75600,93600,False,"We are looking for a Programmer who can contribute from day one, communicate clearly, and work with technologies such as JavaScript, OOP, Java, Python, React. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Programmer using JavaScript, OOP, Java, Python and collaborating with cross-functional teams.",False,2026-01-19,2026-04-03,True,POOL-0001,True,True,open,3 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600019,COMP-202600007,รับสมัคร Back-end Developer (นักพัฒนา Back-end),4,นักพัฒนา Back-end,Back-end Developer,IT,Development,2,9,9,9,1,3,45000,55800,True,"We are looking for a Programmer who can contribute from day one, communicate clearly, and work with technologies such as SQL, OOP, REST API, Python, Java. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Programmer using SQL, OOP, REST API, Python and collaborating with cross-functional teams.",True,2026-02-03,2026-04-18,True,POOL-0001,True,True,open,8 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600020,COMP-202600006,รับสมัคร Data Analyst (นักวิเคราะห์ข้อมูล),3,นักวิเคราะห์ข้อมูล,Data Analyst,Business,Analytics,2,4,4,4,1,1,39600,48600,True,"We are looking for a Data Analyst who can contribute from day one, communicate clearly, and work with technologies such as Python, SQL, Presentation, Power BI, Communication. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Analyst using Python, SQL, Presentation, Power BI and collaborating with cross-functional teams.",False,2026-03-30,2026-06-18,True,POOL-0002,True,True,open,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600021,COMP-202600005,รับสมัคร Data Scientist (นักวิทยาศาสตร์ข้อมูล),2,นักวิทยาศาสตร์ข้อมูล,Data Scientist,Business,Analytics,2,11,11,11,1,2,45600,55199,False,"We are looking for a Data Scientist who can contribute from day one, communicate clearly, and work with technologies such as Python, Tableau, Feature Engineering, A/B Testing, Pandas. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Scientist using Python, Tableau, Feature Engineering, A/B Testing and collaborating with cross-functional teams.",False,2026-01-09,2026-03-14,True,POOL-0002,False,True,draft,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600022,COMP-202600010,รับสมัคร Data Scientist (นักวิทยาศาสตร์ข้อมูล),3,นักวิทยาศาสตร์ข้อมูล,Data Scientist,Business,Analytics,1,3,3,3,1,3,52800,64800,False,"We are looking for a Data Scientist who can contribute from day one, communicate clearly, and work with technologies such as A/B Testing, Tableau, Data Visualization, Pandas. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Scientist using A/B Testing, Tableau, Data Visualization, Pandas and collaborating with cross-functional teams.",True,2026-02-16,2026-06-09,True,POOL-0002,False,True,draft,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600023,COMP-202600001,รับสมัคร DevOps Engineer (วิศวกร DevOps),10,วิศวกร DevOps,DevOps Engineer,IT,Infrastructure,1,4,4,4,3,3,140000,170000,True,"We are looking for a DevOps Engineer who can contribute from day one, communicate clearly, and work with technologies such as AWS, Linux, Monitoring, Kubernetes, Docker. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a DevOps Engineer using AWS, Linux, Monitoring, Kubernetes and collaborating with cross-functional teams.",True,2026-01-23,2026-05-02,True,POOL-0003,True,True,closed,7 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600024,COMP-202600005,รับสมัคร Project Manager / Scrum Master (ผู้จัดการโครงการ),7,ผู้จัดการโครงการ,Project Manager / Scrum Master,Business,Marketing,2,4,4,4,1,2,60800,75200,True,"We are looking for a Digital Marketer who can contribute from day one, communicate clearly, and work with technologies such as Creativity, Presentation, Email Marketing, Content Marketing, Social Media Marketing. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Digital Marketer using Creativity, Presentation, Email Marketing, Content Marketing and collaborating with cross-functional teams.",True,2026-03-08,2026-06-17,True,POOL-0004,True,True,open,5 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600025,COMP-202600010,รับสมัคร Full Stack Developer (นักพัฒนา Full Stack),1,นักพัฒนา Full Stack,Full Stack Developer,IT,Development,2,10,10,10,1,3,30600,37800,True,"We are looking for a Programmer who can contribute from day one, communicate clearly, and work with technologies such as Git, SQL, React, Python, Docker. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Programmer using Git, SQL, React, Python and collaborating with cross-functional teams.",True,2026-02-08,2026-04-23,True,POOL-0001,True,True,closed,4 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600026,COMP-202600004,รับสมัคร Software Tester / QA (นักทดสอบซอฟต์แวร์),1,นักทดสอบซอฟต์แวร์,Software Tester / QA,IT,Support,2,6,6,6,1,3,23800,29400,True,"We are looking for a IT Support who can contribute from day one, communicate clearly, and work with technologies such as Documentation, Customer Service, Helpdesk Support, VPN, Windows Server. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a IT Support using Documentation, Customer Service, Helpdesk Support, VPN and collaborating with cross-functional teams.",False,2026-01-09,2026-04-18,True,POOL-0003,True,True,closed,4 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600027,COMP-202600005,รับสมัคร Data Analyst (นักวิเคราะห์ข้อมูล),2,นักวิเคราะห์ข้อมูล,Data Analyst,Business,Analytics,1,12,12,12,5,3,34200,41400,True,"We are looking for a Data Analyst who can contribute from day one, communicate clearly, and work with technologies such as Python, Statistics, Excel, Power BI. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Analyst using Python, Statistics, Excel, Power BI and collaborating with cross-functional teams.",False,2026-03-01,2026-04-21,True,POOL-0002,True,True,closed,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600028,COMP-202600007,รับสมัคร UX/UI Designer (นักออกแบบ UX/UI),2,นักออกแบบ UX/UI,UX/UI Designer,Business,Marketing,2,1,1,1,1,1,30400,36800,True,"We are looking for a Digital Marketer who can contribute from day one, communicate clearly, and work with technologies such as Google Ads, Meta Ads (Facebook/Instagram), Creativity, Email Marketing. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Digital Marketer using Google Ads, Meta Ads (Facebook/Instagram), Creativity, Email Marketing and collaborating with cross-functional teams.",False,2026-01-22,2026-03-14,True,POOL-0004,True,True,open,5 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600029,COMP-202600009,รับสมัคร Data Engineer (วิศวกรข้อมูล),7,วิศวกรข้อมูล,Data Engineer,IT,Engineering,2,12,12,12,1,3,87400,108100,False,"We are looking for a Data Engineer who can contribute from day one, communicate clearly, and work with technologies such as Airflow, Spark, SQL, Data Engineering, AWS. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a Data Engineer using Airflow, Spark, SQL, Data Engineering and collaborating with cross-functional teams.",False,2026-01-07,2026-04-16,True,POOL-0002,True,True,closed,8 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
JOB-202600030,COMP-202600004,รับสมัคร QA Automation Engineer (วิศวกร QA อัตโนมัติ),3,วิศวกร QA อัตโนมัติ,QA Automation Engineer,IT,Support,2,10,10,10,3,1,30800,37800,True,"We are looking for a IT Support who can contribute from day one, communicate clearly, and work with technologies such as Office 365, Active Directory, Hardware Maintenance, VPN, Helpdesk Support. Experience with team delivery, execution quality, and continuous improvement is strongly preferred.","Responsible for delivering outcomes as a IT Support using Office 365, Active Directory, Hardware Maintenance, VPN and collaborating with cross-functional teams.",True,2026-03-18,2026-05-06,True,POOL-0003,True,True,open,6 ชั่วโมง/วัน,SYSTEM_ADMIN,2026-03-23 10:00:00,SYSTEM_ADMIN,2026-03-23 10:00:00
